status;matchType;candidateCount;appKey;serie;set;abbr;kaartnr;kaartnaam;cmProductId;cmExpansionId;cmSetCode;cmSetName;cmNumber;cmName;cmRawName;price;foilTrendPrice;url
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|001|Weedle;Mega Evolution;Chaos Rising;CRI;001;Weedle;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|002|Kakuna;Mega Evolution;Chaos Rising;CRI;002;Kakuna;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|003|Beedrill ex;Mega Evolution;Chaos Rising;CRI;003;Beedrill ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|004|Carnivine;Mega Evolution;Chaos Rising;CRI;004;Carnivine;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|005|Chespin;Mega Evolution;Chaos Rising;CRI;005;Chespin;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|006|Quilladin;Mega Evolution;Chaos Rising;CRI;006;Quilladin;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|007|Chesnaught;Mega Evolution;Chaos Rising;CRI;007;Chesnaught;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|008|Vulpix;Mega Evolution;Chaos Rising;CRI;008;Vulpix;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|009|Ninetales;Mega Evolution;Chaos Rising;CRI;009;Ninetales;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|010|Ho-Oh;Mega Evolution;Chaos Rising;CRI;010;Ho-Oh;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|011|Fennekin;Mega Evolution;Chaos Rising;CRI;011;Fennekin;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|012|Braixen;Mega Evolution;Chaos Rising;CRI;012;Braixen;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|013|Delphox;Mega Evolution;Chaos Rising;CRI;013;Delphox;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|014|Litleo;Mega Evolution;Chaos Rising;CRI;014;Litleo;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|015|Mega Pyroar ex;Mega Evolution;Chaos Rising;CRI;015;Mega Pyroar ex;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|016|Remoraid;Mega Evolution;Chaos Rising;CRI;016;Remoraid;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|017|Octillery;Mega Evolution;Chaos Rising;CRI;017;Octillery;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|018|Delibird;Mega Evolution;Chaos Rising;CRI;018;Delibird;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|019|Keldeo;Mega Evolution;Chaos Rising;CRI;019;Keldeo;;;;;;;;;;
niet gekoppeld;unmatched;0;Mega Evolution|Chaos Rising|CRI|020|Froakie;Mega Evolution;Chaos Rising;CRI;020;Froakie;;;;;;;;;;
