serie;set;appAfkorting;huidigeMapping;rang;candidateExpansionId;score;overlap;appUniekeNamen;cmUniekeNamen;cmProducten;cardmarketSetcode;cardmarketSetnaam;sampleOverlap;sampleAlleenApp;sampleAlleenCardmarket;advies
Mega Evolution;Chaos Rising;CRI;;1;6596;0.1328;10;87;59;73;;;az s tranquility, emma, energy retrieval, jumbo ice cream, philippe, prism tower, roxie s performance, special red card, surfing beach, tool scrapper;adversity policy, ampharos, ange floette, avalugg, baltoy, beedrill ex, beldum, bergmite, braixen, bubbly water energy, carnivine, chesnaught, chespin, cinccino ex;ampharos synchro pulse flashing bolt, armarouge flame legion, bastiodon ancient bulwark hammer in, beedrill ex rumbling bees, brave bangle, chespin beat spike sting, cinccino ex smooth coat energized slap, claydol devolution ray, cobalion ex metal road power tackle, crobat nighttime maneuvers poison sound wave, crushing hammer, dark bell, dhelmise vengeful anchor, energy switch;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist
Mega Evolution;Chaos Rising;CRI;;2;6494;0.1255;11;87;88;120;;;ange floette, az s tranquility, emma, energy retrieval, jumbo ice cream, philippe, prism tower, roxie s performance, special red card, surfing beach, tool scrapper;adversity policy, ampharos, avalugg, baltoy, beedrill ex, beldum, bergmite, braixen, bubbly water energy, carnivine, chesnaught, chespin, cinccino ex, claydol;ampharos synchro pulse flashing bolt, avalugg iceberg breaker frost stamp, baltoy continuous spin, beedrill ex bee rumble, beldum headbutt beam, bergmite chilly frost breath, big haul net, book of transformation, braixen flamethrower cri, bubble w energy, carnivine bite whole, chesnaught needle armor impound, chespin beat spike sting, cinccino ex smooth coat energized slap;zwak/alternatief
Mega Evolution;Chaos Rising;CRI;;3;6517;0.1237;11;87;90;122;;;ange floette, az s tranquility, emma, energy retrieval, jumbo ice cream, philippe, prism tower, roxie s performance, special red card, surfing beach, tool scrapper;adversity policy, ampharos, avalugg, baltoy, beedrill ex, beldum, bergmite, braixen, bubbly water energy, carnivine, chesnaught, chespin, cinccino ex, claydol;ampharos synchro pulse flashing bolt, avalugg iceberg breaker frost stamp, baltoy continuous spin, beedrill ex bee rumble, beldum headbutt beam, bergmite chilly frost breath, big haul net, book of transformation, braixen flamethrower cri, bubble w energy, carnivine bite whole, chesnaught needle armor impound, chespin beat spike sting, cinccino ex smooth coat energized slap;zwak/alternatief
Mega Evolution;Chaos Rising;CRI;;4;6392;0.0355;3;87;80;85;;;special red card, surfing beach, tool scrapper;adversity policy, ampharos, ange floette, avalugg, az s tranquility, baltoy, beedrill ex, beldum, bergmite, braixen, bubbly water energy, carnivine, chesnaught, chespin;air balloon, azumarill ex bubble gathering energized balloon, battle cage, binacle double draw scratch, buddy buddy poffin, budew itchy pollen, bug catching set, buneary run around kick, carvanha reckless charge, celebratory fanfare, charmander agile live coal, charmander fire claws, charmeleon steady firebreathing, chikorita razor leaf;zwak/alternatief
Mega Evolution;Chaos Rising;CRI;;5;6393;0.0328;3;87;94;102;;;special red card, surfing beach, tool scrapper;adversity policy, ampharos, ange floette, avalugg, az s tranquility, baltoy, beedrill ex, beldum, bergmite, braixen, bubbly water energy, carnivine, chesnaught, chespin;abra teleportation attack, air balloon, azumarill ex bubble gathering energized balloon, barbaracle stone arms hammer in, battle cage, binacle double draw scratch, buddy buddy poffin, budew itchy pollen, bug catching set, bulbasaur bind down, carvanha reckless charge, celebi traverse time solar cutter, celebratory fanfare, ceruledge infernal slash;zwak/alternatief
Mega Evolution;Chaos Rising;CRI;;6;6223;0.0237;2;87;80;152;;;energy retrieval, tool scrapper;adversity policy, ampharos, ange floette, avalugg, az s tranquility, baltoy, beedrill ex, beldum, bergmite, braixen, bubbly water energy, carnivine, chesnaught, chespin;accelgor acid spray, antique plume fossil, archen acrobatics, archeops ancient wing rock throw, basculin bite bared fangs, blitzle smash kick zap kick, boldore smack down power gem sv, brave bangle, braviary aerial ace speed wing, cheren, cofagrigus extended damagriiigus perplex, cottonee absorb sv, deerling rear kick sv, deino body slam darkness fang;zwak/alternatief
Mega Evolution;Chaos Rising;CRI;;7;6131;0.0231;2;87;86;174;;;energy retrieval, tool scrapper;adversity policy, ampharos, ange floette, avalugg, az s tranquility, baltoy, beedrill ex, beldum, bergmite, braixen, bubbly water energy, carnivine, chesnaught, chespin;accelgor acid spray, antique plume fossil, archen acrobatics, archeops ancient wing rock throw, basculin bite bared fangs, blitzle smash kick zap kick, boldore smack down power gem sv, bouffalant ex bouffer gold breaker, brave bangle, braviary aerial ace speed wing, cheren, cofagrigus extended damagriiigus perplex, cottonee absorb sv, deerling rear kick sv;zwak/alternatief
Mega Evolution;Chaos Rising;CRI;;8;6198;0.0231;2;87;86;162;;;energy retrieval, tool scrapper;adversity policy, ampharos, ange floette, avalugg, az s tranquility, baltoy, beedrill ex, beldum, bergmite, braixen, bubbly water energy, carnivine, chesnaught, chespin;accelgor acid spray, antique plume fossil, archen acrobatics, archeops ancient wing rock throw, basculin bite bared fangs, blitzle smash kick zap kick, boldore smack down power gem sv, brave bangle, chandelure incendiary pillar burn it all up, cheren, cofagrigus extended damagriiigus perplex, cottonee absorb sv, deerling rear kick sv, deino body slam darkness fang;zwak/alternatief
Mega Evolution;Perfect Order;POR;6443;1;6443;0.2283;21;92;92;125;;;antique jaw fossil, antique sail fossil, core memory, crushing hammer, energy recycler, energy search, energy swatter, forest of vitality, jacinthe, judge, lumiose city, lumiose galette, naveen, poke ball, poke pad, pokemon catcher, potion, rosa s encouragement;aegislash, amaura, ariados, aromatisse, aurorus, barbaracle, binacle, bunnelby, chien pao, clefairy, dartrix, decidueye ex, dedenne, dewgong;aegislash slah metal slash, amaura icy wind, ariados poison ring, aromatisse scent gathering draining kiss, aurorus tundra wall freezing chill, barbaracle stone arms hammer in, binacle double draw scratch, bunnelby smash kick, chien pao strafe rising blade, clefairy follow me flop, dartrix leafage feather shot, decidueye ex sniper eye crushing arrow, dedenne tail generator thunder shock, dewgong wash out wave splash;STERKE KANDIDAAT - controleer en zet in manual_set_map indien juist
Mega Evolution;Perfect Order;POR;6443;2;6427;0.1684;15;92;84;117;;;antique jaw fossil, antique sail fossil, core memory, energy recycler, energy swatter, forest of vitality, jacinthe, lumiose city, lumiose galette, naveen, poke pad, rosa s encouragement, sacred ash, tarragon, wondrous patch;aegislash, amaura, ariados, aromatisse, aurorus, barbaracle, binacle, bunnelby, chien pao, clefairy, crushing hammer, dartrix, decidueye ex, dedenne;aegislash slah metal slash, amaura icy wind, ariados poison ring, aromatisse scent gathering draining kiss, aurorus tundra wall freezing chill, barbaracle stone arms hammer in, binacle double draw scratch, bunnelby smash kick, chien pao strafe rising blade, clefairy follow me flop, dartrix leafage feather shot, decidueye ex sniper eye crushing arrow, dedenne tail generator thunder shock, dewgong wash out wave splash;zwak/alternatief
